Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,T:System.Windows.Forms.DialogResult,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,T:System.Windows.Forms.DialogResult,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,F:System.Windows.Forms.DialogResult.OK,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,T:System.Windows.Forms.DialogResult,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,P:System.Windows.Forms.Button.DialogResult,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,T:System.Windows.Forms.Button,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,123,12,M:System.Windows.Forms.Button.#ctor,,,,,"var ok = new Button              {                  Text = ""Aceptar"",                  AutoSize = true,                  DialogResult = DialogResult.OK,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.FlowDirection,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,S3Integración_programs.csproj,File,FileNameConfigDialog.cs,116,12,T:System.Windows.Forms.FlowDirection,,,,,"var panel = new FlowLayoutPanel              {                  Dock = DockStyle.Fill,                  AutoSize = true,                  FlowDirection = FlowDirection.RightToLeft,              };"
